tweet_id,retweet_count,favourite_count
869596645499047938,2786,14792
869227993411051520,3379,18915
868880397819494401,12942,60474
868639477480148993,1854,0
868622495443632128,4746,24658
868552278524837888,1854,9339
867900495410671616,3773,22484
867774946302451713,6604,31540
867421006826221569,2246,14928
867072653475098625,108,0
867051520902168576,7119,29896
866720684873056260,4340,18574
866686824827068416,3126,17868
866450705531457537,31895,113518
866334964761202691,12866,48608
866094527597207552,7572,0
865718153858494464,5099,23923
865359393868664832,4536,24618
865006731092295680,7018,26103
864873206498414592,7885,30035
864279568663928832,2726,13607
864197398364647424,8006,27896
863907417377173506,3766,19239
863553081350529029,3812,14238
863471782782697472,2203,0
863432100342583297,4772,22174
863427515083354112,85,2051
863079547188785154,1010,8188
863062471531167744,2203,7862
862831371563274240,4690,17918
862722525377298433,3232,15979
862457590147678208,4479,19048
862096992088072192,21098,69194
861383897657036800,9785,33744
861288531465048066,3789,16046
861005113778896900,3492,15623
860981674716409858,1956,0
860924035999428608,723,0
860563773140209665,1956,7008
860524505164394496,4843,22162
860276583193509888,3226,17255
860184849394610176,5380,15634
860177593139703809,28349,0
859924526012018688,3773,18412
859851578198683649,3236,14504
859607811541651456,1419,17510
859196978902773760,27707,84283
859074603037188101,12564,31732
858860390427611136,7474,0
858843525470990336,3193,14692
858471635011153920,4494,20303
858107933456039936,2665,14837
857989990357356544,2385,15149
857746408056729600,9831,32237
857393404942143489,1520,5554
857263160327368704,4189,18962
857214891891077121,17,213
857062103051644929,154,0
857029823797047296,3684,17777
856543823941562368,2679,15481
856526610513747968,1749,11235
856330835276025856,619,0
856288084350160898,15,489
856282028240666624,5842,26268
855862651834028034,22,314
855860136149123072,900,4631
855857698524602368,1961,11272
855851453814013952,16867,43480
855818117272018944,5066,25304
855459453768019968,7681,28254
855245323840757760,5535,0
855138241867124737,40,0
854732716440526848,5669,21611
854482394044301312,6384,27767
854365224396361728,4388,17981
854120357044912130,6975,30425
854010172552949760,2954,15483
853760880890318849,5412,27238
853639147608842240,9385,33025
